Group,Sex,Age_Group,Metric,N_Test,N_Ref,Test_Mean,Ref_Mean,Observed_Delta,Null_Mean_Delta,Null_95_Lower,Null_95_Upper,p_value_greater,p_value_two_sided,Plot_Path
Japanese,Female,40-90,BAG,187,9493,3.377495193717641,0.014204262004634986,3.363290931713006,0.0028779074292124298,-0.559777575844002,0.560749787055545,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Japanese/Japanese_Female_40-90_BAG_permutation_histogram.png
Japanese,Female,40-90,MAE,187,9493,4.5620768698629055,3.083662273838618,1.4784145960242876,-0.0012257239020307404,-0.34012935290409285,0.3533980168081154,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Japanese/Japanese_Female_40-90_MAE_permutation_histogram.png
Japanese,Female,5-40,BAG,216,8505,-1.1770276397723825,-0.008381465306172826,-1.1686461744662096,0.0026729141633079286,-0.25429256387248356,0.2562463454336751,1.0,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Japanese/Japanese_Female_5-40_BAG_permutation_histogram.png
Japanese,Female,5-40,MAE,216,8505,2.5509903048576636,1.4480463025786008,1.1029440022790629,-0.0003349634275595779,-0.15721077230391883,0.16349798266890406,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Japanese/Japanese_Female_5-40_MAE_permutation_histogram.png
Japanese,Male,40-90,BAG,128,7788,3.2392280393425645,-0.00856909801617877,3.2477971373587433,0.004786447370331538,-0.7024744442780745,0.7187741357240007,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Japanese/Japanese_Male_40-90_BAG_permutation_histogram.png
Japanese,Male,40-90,MAE,128,7788,4.367684813770984,3.229780626449666,1.1379041873213178,0.005301806423384105,-0.4229989543742541,0.4537828067140852,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Japanese/Japanese_Male_40-90_MAE_permutation_histogram.png
Japanese,Male,5-40,BAG,389,7541,-0.7710055069016482,-0.003283886222118988,-0.7677216206795292,0.00033900680948049147,-0.20441174712097293,0.20556001180844002,1.0,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Japanese/Japanese_Male_5-40_BAG_permutation_histogram.png
Japanese,Male,5-40,MAE,389,7541,2.8147303570724307,1.4961591848305265,1.3185711722419042,0.0005274543422409591,-0.12165749494470465,0.13366655787984952,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Japanese/Japanese_Male_5-40_MAE_permutation_histogram.png
Mexican,Female,40-90,BAG,31,9493,6.252526153938822,0.014204262004634986,6.238321891934187,-0.0034649074626946982,-1.3652693423917017,1.384850562167515,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Mexican/Mexican_Female_40-90_BAG_permutation_histogram.png
Mexican,Female,40-90,MAE,31,9493,6.497673760343709,3.083662273838618,3.414011486505091,-0.0025951295584483295,-0.8015906102332944,0.8936434500142612,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Mexican/Mexican_Female_40-90_MAE_permutation_histogram.png
Mexican,Female,5-40,BAG,106,8505,-0.9768102392205783,-0.008381465306172826,-0.9684287739144055,-0.001461867297838836,-0.35985809239664224,0.35619120016654326,1.0,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Mexican/Mexican_Female_5-40_BAG_permutation_histogram.png
Mexican,Female,5-40,MAE,106,8505,2.8762208728154257,1.4480463025786008,1.428174570236825,-0.00022810311622975093,-0.21334381586170337,0.23498370241240055,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Mexican/Mexican_Female_5-40_MAE_permutation_histogram.png
Mexican,Male,40-90,BAG,13,7788,-0.903863382798942,-0.00856909801617877,-0.8952942847827632,0.010828988559981673,-2.210303475789212,2.2298176812477317,0.785921407859214,0.4310568943105689,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Mexican/Mexican_Male_40-90_BAG_permutation_histogram.png
Mexican,Male,40-90,MAE,13,7788,3.2325789821106317,3.229780626449666,0.0027983556609658677,-0.006000347576730596,-1.213936506433736,1.4389250091089523,0.47135286471352866,0.9976002399760024,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Mexican/Mexican_Male_40-90_MAE_permutation_histogram.png
Mexican,Male,5-40,BAG,164,7541,-1.6351542319329266,-0.003283886222118988,-1.6318703457108077,0.002913732764321741,-0.30207302073549597,0.3013809783154779,1.0,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Mexican/Mexican_Male_5-40_BAG_permutation_histogram.png
Mexican,Male,5-40,MAE,164,7541,3.3427571194085366,1.4961591848305265,1.8465979345780101,-0.0009548661409876782,-0.18555508533546364,0.1973189139261987,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Mexican/Mexican_Male_5-40_MAE_permutation_histogram.png
South Asian,Female,40-90,BAG,144,9493,2.0006319047892145,0.014204262004634986,1.9864276427845795,0.00016461827688387203,-0.6491350866686565,0.6457849462771804,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/South Asian/South Asian_Female_40-90_BAG_permutation_histogram.png
South Asian,Female,40-90,MAE,144,9493,3.618056092100486,3.083662273838618,0.5343938182618682,-0.00479370487872808,-0.39346319965168575,0.40049397305189915,0.0046995300469953,0.007799220077992201,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/South Asian/South Asian_Female_40-90_MAE_permutation_histogram.png
South Asian,Female,5-40,BAG,16,8505,-0.31817520919992465,-0.008381465306172826,-0.3097937438937518,0.007819207092366755,-0.8853590229606662,0.9353369576939384,0.7506249375062494,0.5024497550244975,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/South Asian/South Asian_Female_5-40_BAG_permutation_histogram.png
South Asian,Female,5-40,MAE,16,8505,2.1775303822644645,1.4480463025786008,0.7294840796858637,0.0032188635105406533,-0.49296986892184125,0.6339726603533002,0.014798520147985201,0.015498450154984501,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/South Asian/South Asian_Female_5-40_MAE_permutation_histogram.png
South Asian,Male,40-90,BAG,238,7788,2.4648364625328756,-0.00856909801617877,2.4734055605490544,0.00012994478702467918,-0.5271075107304388,0.5218284025415864,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/South Asian/South Asian_Male_40-90_BAG_permutation_histogram.png
South Asian,Male,40-90,MAE,238,7788,3.924168775186589,3.229780626449666,0.6943881487369232,-0.0010086988926448638,-0.31053606536352246,0.3300621018083453,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/South Asian/South Asian_Male_40-90_MAE_permutation_histogram.png
South Asian,Male,5-40,BAG,21,7541,0.06202825830603671,-0.003283886222118988,0.0653121445281557,-0.0015028361480007462,-0.8191085024433405,0.8020183434341948,0.43575642435756423,0.8720127987201279,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/South Asian/South Asian_Male_5-40_BAG_permutation_histogram.png
South Asian,Male,5-40,MAE,21,7541,2.707086686322044,1.4961591848305265,1.2109275014915175,0.000626681653298123,-0.4407941709759279,0.5566397795006385,0.00039996000399960006,0.00039996000399960006,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/South Asian/South Asian_Male_5-40_MAE_permutation_histogram.png
Turkish,Female,5-40,BAG,268,8505,-0.46775167611402624,-0.008381465306172826,-0.4593702108078534,-0.00018163925409339133,-0.2337374798071015,0.23132117691595405,1.0,0.00019998000199980003,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Turkish/Turkish_Female_5-40_BAG_permutation_histogram.png
Turkish,Female,5-40,MAE,268,8505,2.414725820022386,1.4480463025786008,0.966679517443785,0.0006014017855444011,-0.137982053731996,0.14818283793574116,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Turkish/Turkish_Female_5-40_MAE_permutation_histogram.png
Turkish,Male,5-40,BAG,154,7541,-0.24714756709446986,-0.003283886222118988,-0.24386368087235089,0.002201119318941359,-0.3083814391817878,0.30674738521088635,0.9394060593940606,0.12308769123087691,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Turkish/Turkish_Male_5-40_BAG_permutation_histogram.png
Turkish,Male,5-40,MAE,154,7541,2.7091679439822633,1.4961591848305265,1.213008759151737,-0.0006427532796438819,-0.18458547197080707,0.1962131529597672,9.999000099990002e-05,9.999000099990002e-05,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/permutation/Plots/Turkish/Turkish_Male_5-40_MAE_permutation_histogram.png
